Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n83,n83,Shelby,46,37.49199992,3,0.598765432,0.002388814,0.009678748,0.009678748,1,0.010384901,0,0.954589372,988,0.490099844
n84,n84,Smith,41,29.43099999,2,0.633986928,0.020193325,0.008649094,0.008649094,1,0.008342511,0,0.824390244,676,0.474180954
n85,n85,Snowe,65,46.61899996,2,0.751937984,0.135470044,0.013591433,0.013591433,0,0.011048593,0,0.664903846,1383,1
n86,n86,Specter,48,34.30799997,2,0.664383562,0.075187457,0.01009061,0.01009061,1,0.009227004,0,0.595744681,672,0.609166135
n87,n87,Stabenow,50,44.43199986,3,0.551136364,0,0.010502472,0.010502472,0,0.010213068,0,1,1225,0.830538372
n88,n88,Stevens,46,35.88799995,2,0.655405405,0.007688727,0.009678748,0.009678748,1,0.009970613,0,0.927536232,960,0.499820753
n89,n89,Sununu,45,35.59499991,3,0.591463415,0.001981975,0.009472817,0.009472817,1,0.009940086,0,0.964646465,955,0.477683816
n90,n90,Tester,52,43.37599963,3,0.646666667,0.005232504,0.010914333,0.010914333,0,0.010047832,0,0.953242836,1264,0.859037393
n91,n91,Thune,47,38.56599987,2,0.659863946,0.007957508,0.009884679,0.009884679,1,0.010615411,0,0.926919519,1002,0.509477446
n92,n92,Vitter,42,33.29399991,3,0.48989899,6.67E-05,0.008855024,0.008855024,1,0.009404707,0,0.990708479,853,0.43917802
n93,n93,Voinovich,43,30.85799998,2,0.642384106,0.005789549,0.009060956,0.009060956,1,0.008771695,0,0.941306755,850,0.472480613
n94,n94,Warner,47,37.5629999,2,0.659863946,0.007957508,0.009884679,0.009884679,1,0.010373816,0,0.926919519,1002,0.509477446
n95,n95,Webb,51,44.0450002,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010147132,0,0.988235294,1260,0.849107795
n96,n96,Whitehouse,51,46.21600008,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.010571404,0,0.988235294,1260,0.849107795
n97,n97,Wyden,51,45.88799995,3,0.613924051,8.46E-04,0.010708402,0.010708402,0,0.01050783,0,0.988235294,1260,0.849107795
